"TIME","GEO","WASTE","STK_FLOW","WST_OPER","UNIT","Value"
"2007","European Union - 28 countries","Plastic packaging","Domestic","Waste generated","Tonne","15 030 000"
"2007","European Union - 28 countries","Plastic packaging","Domestic","Recovery","Tonne","8 481 000"
"2007","Belgium","Plastic packaging","Domestic","Waste generated","Tonne","308 741"
"2007","Belgium","Plastic packaging","Domestic","Recovery","Tonne","265 257"
"2007","Bulgaria","Plastic packaging","Domestic","Waste generated","Tonne","102 093"
"2007","Bulgaria","Plastic packaging","Domestic","Recovery","Tonne","19 944"
"2007","Czechia","Plastic packaging","Domestic","Waste generated","Tonne","217 119"
"2007","Czechia","Plastic packaging","Domestic","Recovery","Tonne","124 662"
"2007","Denmark","Plastic packaging","Domestic","Waste generated","Tonne","191 782"
"2007","Denmark","Plastic packaging","Domestic","Recovery","Tonne","187 282"
"2007","Germany (until 1990 former territory of the FRG)","Plastic packaging","Domestic","Waste generated","Tonne","2 643 800"
"2007","Germany (until 1990 former territory of the FRG)","Plastic packaging","Domestic","Recovery","Tonne","2 519 557"
"2007","Estonia","Plastic packaging","Domestic","Waste generated","Tonne","37 341"
"2007","Estonia","Plastic packaging","Domestic","Recovery","Tonne","14 312"
"2007","Ireland","Plastic packaging","Domestic","Waste generated","Tonne","237 685"
"2007","Ireland","Plastic packaging","Domestic","Recovery","Tonne","52 784"
"2007","Greece","Plastic packaging","Domestic","Waste generated","Tonne","295 000"
"2007","Greece","Plastic packaging","Domestic","Recovery","Tonne","40 500"
"2007","Spain","Plastic packaging","Domestic","Waste generated","Tonne","1 679 000"
"2007","Spain","Plastic packaging","Domestic","Recovery","Tonne","639 553"
"2007","France","Plastic packaging","Domestic","Waste generated","Tonne","2 113 930"
"2007","France","Plastic packaging","Domestic","Recovery","Tonne","1 129 009"
"2007","Croatia","Plastic packaging","Domestic","Waste generated","Tonne",":"
"2007","Croatia","Plastic packaging","Domestic","Recovery","Tonne",":"
"2007","Italy","Plastic packaging","Domestic","Waste generated","Tonne","2 270 000"
"2007","Italy","Plastic packaging","Domestic","Recovery","Tonne","1 329 000"
"2007","Cyprus","Plastic packaging","Domestic","Waste generated","Tonne","14 710"
"2007","Cyprus","Plastic packaging","Domestic","Recovery","Tonne","2 106"
"2007","Latvia","Plastic packaging","Domestic","Waste generated","Tonne","39 498"
"2007","Latvia","Plastic packaging","Domestic","Recovery","Tonne","8 999"
"2007","Lithuania","Plastic packaging","Domestic","Waste generated","Tonne","64 483"
"2007","Lithuania","Plastic packaging","Domestic","Recovery","Tonne","18 390"
"2007","Luxembourg","Plastic packaging","Domestic","Waste generated","Tonne","25 238"
"2007","Luxembourg","Plastic packaging","Domestic","Recovery","Tonne","22 735"
"2007","Hungary","Plastic packaging","Domestic","Waste generated","Tonne","218 482"
"2007","Hungary","Plastic packaging","Domestic","Recovery","Tonne","95 681"
"2007","Malta","Plastic packaging","Domestic","Waste generated","Tonne","8 797"
